review_id,stars,date,title,text,source,product,version,vote_count
14064547624,2,2026-05-14,oh no,"this is awful. the original app was just perfectly fine all it needed was a bit of polishing and upgrades like the ability to refill your omny or make the app more accurate to the timing of when the busses or trains come. but instead you NEED ur location service on, it did not save my previous trips from the prior version which is very annoying i had my places saved nd they’re gone.   also you have to update the app u don’t have a choice if u want to use it lol.   i heavily used this app for its reliability compared to google maps. now they use google maps so might as well just use google maps again smh.   hoping they see peoples complaints and update accordingly in the future.",app_store,MTA,4.9.0,0
14063102795,1,2026-05-14,Awful and unnecessary,The old app worked. The new one doesn’t. Why change? Why waste taxpayer money to deliver a worse product? Abysmal.,app_store,MTA,4.9.0,0
14061491052,3,2026-05-13,"5/13/26 - WIDGETS ARE BACK, TNX","Looks a bit thrown together, but glad to have the feature back.",app_store,MTA,4.9.0,0
14061126759,1,2026-05-13,Doesn’t work half the time,"Doesn’t load locations consistently anymore, only train stations. Also doesn’t automatically detect my location which sometimes also doesn’t load!",app_store,MTA,4.8.0,0
14060814911,2,2026-05-13,Such a DOWNGRADE,"The previous version was perfectly fine. You could see the times, there was a list of the following trains, etc. Now it is so inefficient and provides less information.",app_store,MTA,4.8.0,0
14060483765,2,2026-05-13,Route times no longer accurate,"Before the update I could see an accurate “live look” at how long it would take me to get from my current location to work. Now that it’s “powered by google” it will show my fastest arrival time as 15 min after my shift starts, despite the fact that I can hop on my usual train and get there in time.   This update has made the arrival times completely inaccurate and before I realized it has made me late trying to avoid a “delay” that never even existed. I downloaded this app bc google maps was regularly showing incorrect arrival times, now I’m back to using Apple Maps.",app_store,MTA,4.8.0,0
14060227595,1,2026-05-13,Terrible update,"Seems to have removed the feature where you could look at any specific line (not just favorites and those nearby) and see all stations stops. Rendering the app nearly useless, aside from train times at nearby stations (please don’t delete this in the next release). Unbelievable.",app_store,MTA,4.8.0,0
14060134438,3,2026-05-13,Please bring widget feature back,"I’m still getting used to the new app so no comment on anything else, but it’s very upsetting that widgets no longer work for the app. The MTA widget let me plan my commutes that go between multiple bus stops in seconds versus having to open the app and flip/scroll through several pages to find the right bus then right stop. Please bring the widget feature back soon!!",app_store,MTA,4.8.0,0
14058559478,1,2026-05-12,Horrible,"Difficult to navigate. Instead of clicking the train/bus you want, you have to figure out where the stop is on the map. Then you have to hope it shows you the right direction. Annoying and hate using. Makes me use the website instead",app_store,MTA,4.8.0,0
14058158167,1,2026-05-12,Bring em back.,Bring back the widgets. NOW.,app_store,MTA,4.8.0,0
14058032212,1,2026-05-12,What happened to the old app,Why “fix” something that worked. The current update made the app unusable. I can’t see my bus stops in both directions. It only shows one direction and everything is so cluttered. You can’t even search up anything. Not user friendly,app_store,MTA,4.8.0,0
14056719122,3,2026-05-12,Horrible Design,The new design is terrible. It’s 2026 - get it together.,app_store,MTA,4.8.0,0
14056614009,1,2026-05-12,App went backwards,Mta did it again they managed somehow update an app and make it worse. Only way to see your favorited stations is by actually pressing search,app_store,MTA,4.8.0,0
14055960486,1,2026-05-12,Why?,"The update erased all my preferred locations, and somehow totally erased the subway nearby!  Why?  “Powered by Google” … oh  How much did they pay you?",app_store,MTA,4.8.0,0
14055941943,1,2026-05-12,Bus times are never accurate,Bus times are never accurate,app_store,MTA,4.8.0,0
14055918078,1,2026-05-12,App Update failure,"The redesign looks cool and seems to map you better, but eliminating the ability to have favorite stations and see trains not nearby is an absolute failure. Way to make the app better for tourists but horrible for real New Yorkers.",app_store,MTA,4.8.0,0
14055882392,2,2026-05-12,OMG,What happened?!  I can’t see a list of my favorites.  Now I have to go through all these steps to get my favorites.  Sigh😔,app_store,MTA,4.8.0,0
14054139249,1,2026-05-11,Sucks,The new update sucks. You can’t see where the buses are. Worse than before,app_store,MTA,4.8.0,0
14053988209,3,2026-05-11,Looks good I guess?,"The most recent major update does look slick but it's much less usable, a trend I'm not excited about at all.   My favorite thing about the app was that you open the home screen and you have your pinned trips and the subway map easily accessible.   Now you can only favorite a specific line at a station, and it will always default to showing only uptown trains for that line (regardless of whether that train actually has uptown trips from that station). Every time I need to see this info I have to open the app, swipe up to expand the trip info, and switch direction.   Station selection is also a huge pain now, meaning that you effectively *have* to have location access on unless you want to spend 5 minutes every time you want to check a station you don't frequently visit.   The maps have been completely hidden for some incomprehensible reason, now instead of a maps button on the GPS map you have to go to More -> subway maps.   None of this makes the app unusable but it makes it far less convenient, and when you're trying to frantically look up routes in the middle of a subway station convenience is at a premium. I will probably just download a pdf of the subway map and use google maps for times, because it's now just the simpler method.",app_store,MTA,4.8.0,0
14053818396,2,2026-05-11,new interface is unusable if you’re trying to plan in advance (2 stars for accuracy),"now it only shows you upcoming train times in your exact location, and you have to dig to view a specific station in that same transit line. that sounds nice on paper, but it’s really impractical and doesn’t allow for critical advance planning. many times i’m walking to a station further away, and i wanna know what time i’ll need to get there. other times i’m on a train with multiple viable transfers and i need to see which future transfer is coming the quickest, so that i know where to hop off. i ride on the E to 145, which means i can either get off at 7ave and take the D or i can get off at 42nd and take the A, that’s not information that you’ll receive if it’s only showing you nearby train stops.   favorites don’t save this either. for one, you run into the same issue, it’ll only show you the station nearest you, even within your favorites. but there’s another relating issue. i have multiple “favorite” locations, so i previously used the favorites tab often, but it’s a total mess. because it’s always trying to push you to train times near your location, the amount of text space that information takes up is a total waste of visual space for me and a one page list has turned into a constant scroll to find the train line i wanted to see.   the main issues (to me) with the old system was that it was buggy, and that you had a few too many tap throughs on the buses page to switch directions. now they’ve just added wayyy too many things to tap through to get to a basic piece of information.   this was my go-to app because it was the most reliable for exact times, but i’d rather an app be slightly off with an arrival time than be a waste of my time. it used to be simple and fast enough (when it wasn’t buggy) for me to check on future transfers while i was underground in-between stops, but i’d never be able to pull that with the redesign. i tried it for a few days and gave it a proper shot but i deleted it.   oh, and i almost forgot! they got rid of the widget! why???? that was so useful for getting quick information, and i could tap through to get more info on that specific train line. thankfully i found a better app that has it for free, but still. that alone made me want to delete the app.   new yorkers are fast and we need a fast app. keep it plain, simple and efficient",app_store,MTA,4.8.0,0
14053624090,2,2026-05-11,Please change it back,The previous version of this app was perfect. The new update is terrible. You sacrificed functionality for aesthetic. We can no longer see all of our favorited train stations and bus stops making it difficult to map out transfers. I am more interested in following the route I’m going to take daily than seeing random trains nearby. Please put back the option to list favorite stations and bus stops.,app_store,MTA,4.8.0,0
14053609735,1,2026-05-11,Still extremely frustrated,PLEASE bring back the old version of this app! This update makes it so much more difficult to use.,app_store,MTA,4.8.0,0
14052933506,1,2026-05-11,Lack of widget,Please bring it back,app_store,MTA,4.8.0,0
14052488112,1,2026-05-11,Wtf is this update,"Someone must have pressed the wrong button and taken the app back to its 2010 version. Usually when an app updates it’s supposed to add new features and functions, not take important ones away.",app_store,MTA,4.8.0,0
14052319853,2,2026-05-11,Not worth it.,Not worth it. Just go to the mta bustime subway website. Way easier to use.   It was a great  “look and go app” that worked awesome before the update.  I guess the powers that be decided they didn’t like that. Not surprised. Typical MTA move to Take something that works fine and improve it by making it worse.,app_store,MTA,4.8.0,0
14052276383,4,2026-05-11,Keep what works well,Having that easily accessible favorites tab was my favorite feature. I didn’t have to go around searching. It made my and my children’s commute efficient by helping up choose alternative routes when necessary. Bring back the tab!!,app_store,MTA,4.8.0,0
14052193926,2,2026-05-11,Please bring back widgets!,"What made this app standout from other transit apps was the ability to add widgets. Instead of opening an app, I could just swipe to one page that had all my commonly used routes. Removing widgets is a huge step back and I don’t see myself using this app moving forward anymore.",app_store,MTA,4.8.0,0
14051942868,1,2026-05-11,Downgrade,"I’ve held off on updating this app for as long as I could, as I liked the old UI and had no issues. Today it forced me to update as the older version wasn’t being supported any longer, and as many other users said, the app has gotten worse. I dislike how I only have a tab for nearby trains and how they are not labeled on the map. Please please please revert back to the original UI, as this one is much more tedious and confusing to use.",app_store,MTA,4.8.0,0
14050680573,1,2026-05-10,As bad as I feared,"I resisted updating because I knew it would be bad, when my fears were confirmed when I was forced to update. I lost all my favorites and am unable favorite certain stops. Terrible.",app_store,MTA,4.8.0,0
14050485388,1,2026-05-10,way worse,now why would you remove the ability to track buses?? and widgets??,app_store,MTA,4.8.0,0
14050151759,1,2026-05-10,Terrible update,The new update forces you to share your location and only shows the stations near by (or input your location). You can no longer simple select a line and see all the station. It is also confusing and not user friendly. I really hate that I was forced to update.,app_store,MTA,4.8.0,0
14050150140,1,2026-05-10,What is this mess?,"I can’t even see the buses. They’re in my favorites after I scroll past notifications of random buses, but when I tap on them, nothing happens and I can’t see the Bus map. What is the point of this?",app_store,MTA,4.8.0,0
14050094031,1,2026-05-10,Bus schedules suck,"Why do I have to click 10 different things just to get the bus routes to show up? The version before had it right, and you had to mess it up.",app_store,MTA,4.8.0,0
14049883271,1,2026-05-10,Disastrous update,"I agree with all the 1-star reviews. The new 2026 update is an absolute disaster. All my favorite stations are gone and there’s no way to search to get them back You can ONLY search for lines now, NOT stations. What the hell? Like many people mentioned already, I don’t always want to see “nearby” stations: I want to see an existing list of bookmarked stations, so I can plan my route better. This update doesn’t let you do that. What a joke! MTA, please PLEASE bring back the station search and favorite feature from the old version! This new version is so clunky and unusable now!",app_store,MTA,4.8.0,0
14048271038,2,2026-05-10,New Update Disappointment,"I updated the app and realized the widget no longer exists. I loved it, it was one of the best features. Deleting the app as it is not as convenient as it once was.",app_store,MTA,4.8.0,0
14045401820,1,2026-05-09,Frustrated,"This MTA app is very frustrating to use. Half the time it doesn’t update correctly, and you can’t even go on the bus or train location to see how far the bus is or track it properly. The timing is always off, which makes it hard to know when to leave or plan your trip. The app really needs better live tracking and more accurate updates.",app_store,MTA,4.8.0,0
14044678739,1,2026-05-09,Terrible update,"Every time I use this app, it’s just a terrible new design and it’s the most frustrating thing to use. All it did was just make it more difficult to find your stop",app_store,MTA,4.8.0,0
14043973623,2,2026-05-08,New Layout,Please go back to the old layout. The update is such an eyesore and usability is harder cause it’s harder. Please just go back to the old way it was and update the bugs. I wish I could un-update.,app_store,MTA,4.8.0,1
14039421172,2,2026-05-07,Please Revert!,"Please go back to the old version and design of this, this new one is very confusing.",app_store,MTA,4.8.0,1
14039027908,1,2026-05-07,Train status??,Where do I find the status of a train I’m not near by??,app_store,MTA,4.8.0,0
14038000845,3,2026-05-07,Widgets :(,Would be 5 if widgets had been included in the update. Please bring back widgets ASAP - was the main reason I used the MTA app over other map apps,app_store,MTA,4.8.0,0
14037948792,3,2026-05-07,The new version sucks,"The new version coming out May 2026 is missing some key feature I love. ""my favorite"" tab is one. And most importantly, number of people on board of a bus. I wish I didn't update.",app_store,MTA,4.8.0,1
14036107633,1,2026-05-06,Very Confusing,I find the UX on this new version to be very confusing and not to mention inaccurate. Doesn’t show nearest bus and the best feature was being able to see where a bus was on the route. That doesn’t seem to exist.,app_store,MTA,4.8.0,1
14035561059,3,2026-05-06,The latest update is worse,The plan my trip feature is worse. It gives worse results and the interface is worse. Plus you cannot save your favorite trip routes anymore. … wish they’d stop messing up stuff that doesn’t need updates.,app_store,MTA,4.8.0,0
14035552897,5,2026-05-06,Much better!,This app is worlds better than the previous. I use it everyday and have been very satisfied so far.,app_store,MTA,4.8.0,2
14032703690,1,2026-05-05,Latest update is,"Whoever was responsible for the latest update should be fired and never hired by another company again!!!  “Favorites” is ruined now, all my favorite routes are gone…instead of showing all my favorites routes it instead shows nearby routes only. This update is idiotic, ever heard the saying “if ain’t broken don’t fix it?” Yeah I don’t you have!",app_store,MTA,4.7.0,1
14032172271,1,2026-05-05,The new update has made the app much less useful for me,"This was my go to app for transit (checking train times and bus location on the map mostly), and this new update has made it much harder for me to get the info I need. I used to be able to search for a bus line and see every active bus on the map in both directions for that bus. I was also able to look up a subway line and see every stop easily for that line. With the new update, i can only search based on the bus or subway stop. I don't always know the bus stop, because even though I may know the bus's general route, I may not know the exact cross-streets of the bus stop closest to me and it requires extra investigation to figure that out. The app is now only useful for searching for a bus or train stop on a line I am very familiar with. Also, when I see the bus map, it doesn't even show the bus stops on the map anymore, which is pretty silly to me. It would greatly benefit me if the search functionality was the way it was before this last update. In general, I think it should line-based and less stop-based. Thank you.",app_store,MTA,4.7.0,1
14029172832,1,2026-05-04,Terrible Update,"Times for buses are wrong.  Says no bus for an hour and a half, then a bus is 5 minutes away.  Very unreliable.  Bring back the old version.",app_store,MTA,4.7.0,1
14028585980,1,2026-05-04,MTA Widgets,Give me my widgets back. Why did ygs delete the widgets option. I downloaded this app so I could put my bus times on my widgets and it disappeared within an update. I don't got the damn time to open the app and check myself.,app_store,MTA,4.7.0,0
